Date,Last Price,Volume,SMAVG (15)
12/14/2020,3647.49,702282304,649209664
12/11/2020,3663.46,568895488,644628864
12/10/2020,3668.1,623846080,645264320
12/9/2020,3672.82,698302656,645613568
12/8/2020,3702.25,548025856,639405056
12/7/2020,3691.96,584180800,651103616
12/4/2020,3699.12,598563904,647762048
12/3/2020,3666.72,614889280,647254656
12/2/2020,3669.01,601656640,646625536
12/1/2020,3662.45,639946496,662576704
11/30/2020,3621.63,1335388032,699280960
11/27/2020,3638.35,294230112,646108288
11/25/2020,3629.65,565389248,667239488
11/24/2020,3635.41,756430016,678538944
11/23/2020,3577.59,606117888,666594240
11/20/2020,3557.54,633570944,668691008
11/19/2020,3581.87,578426944,682819520
11/18/2020,3567.79,629084800,688247936
11/17/2020,3609.53,605174912,697940544
11/16/2020,3626.91,723504448,694894848
11/13/2020,3585.15,534057344,685832384
11/12/2020,3537.01,590952384,683046976
11/11/2020,3572.66,605452928,680339904
11/10/2020,3545.53,840924032,674473728
11/9/2020,3550.5,1190510464,651228480
11/6/2020,3509.44,537798208,610176256
11/5/2020,3510.45,611197632,615119936
11/4/2020,3443.44,734881216,607127808
11/3/2020,3369.16,577259072,592268992
11/2/2020,3310.24,637569984,590473088
10/30/2020,3269.96,845497984,586832576
10/29/2020,3310.11,659853376,568221696
10/28/2020,3271.03,774474624,558393536
10/27/2020,3390.68,559489280,542594112
10/26/2020,3400.97,587566784,546746112
10/23/2020,3465.39,492276704,544326976
10/22/2020,3453.49,550346624,550553792
10/21/2020,3435.56,517460288,553032512
10/20/2020,3443.12,492245312,570284096
10/19/2020,3426.92,574726720,567856704
10/16/2020,3483.81,611953280,569053888
10/15/2020,3483.34,491315872,564615424
10/14/2020,3488.67,511998912,571641856
10/13/2020,3511.93,550320576,583106560
10/12/2020,3534.22,582962240,590608000
10/9/2020,3477.13,566334848,609370304
10/8/2020,3446.83,512431328,696514368
10/7/2020,3419.45,537482944,714007168
10/6/2020,3360.95,621769280,729082688
10/5/2020,3408.63,551280000,727757376
10/2/2020,3348.44,585678784,732737920
10/1/2020,3380.8,587527744,734614080
9/30/2020,3363,776233984,739392320
9/29/2020,3335.47,455834240,732785216
9/28/2020,3351.6,592684544,758316672
9/25/2020,3298.46,545375744,771822848
9/24/2020,3246.59,596712640,790215040
9/23/2020,3236.92,683969984,794127552
9/22/2020,3315.57,662841216,785704448
9/21/2020,3281.06,864396864,792547968
9/18/2020,3319.47,1873495808,769991744
9/17/2020,3357.01,774823872,680712256
9/16/2020,3385.49,763615744,661344448
9/15/2020,3401.2,601889152,641132992
9/14/2020,3383.54,625988224,637935360
9/11/2020,3340.97,613821888,634312448
9/10/2020,3339.19,659201216,624109888
9/9/2020,3398.96,677126720,613726656
9/8/2020,3331.84,838806272,598846528
9/4/2020,3426.96,795277504,575580352
9/3/2020,3455.06,821258432,551258496
9/2/2020,3580.84,655400192,527991232
9/1/2020,3526.65,557623808,519814752
8/31/2020,3500.31,765493696,526237888
8/28/2020,3508.01,526053760,514940960
8/27/2020,3484.55,534303744,515185120
8/26/2020,3478.73,484306016,515519168
8/25/2020,3443.62,460443968,521322560
8/24/2020,3431.28,553925056,527428640
8/21/2020,3397.16,571644032,529634368
8/20/2020,3385.51,460783584,554634880
8/19/2020,3374.85,503452704,560267200
8/18/2020,3389.78,453925248,563960000
8/17/2020,3381.99,489813824,566038848
8/14/2020,3372.85,430449280,570357632
8/13/2020,3373.43,472249664,579882624
8/12/2020,3380.35,532752768,590363648
8/11/2020,3333.69,653971008,591499968
8/10/2020,3360.47,596039872,587507328
8/7/2020,3351.28,529715840,583982400
8/6/2020,3349.16,539314688,589551936
8/5/2020,3327.77,571356928,588023744
8/4/2020,3306.51,552035328,594092352
8/3/2020,3294.61,587010880,600101440
7/31/2020,3271.12,946651264,605603072
7/30/2020,3246.22,545268672,579285760
7/29/2020,3258.44,558845184,584166272
7/28/2020,3218.44,485107264,586418432
7/27/2020,3239.41,554595776,592385152
7/24/2020,3215.63,573324672,596772928
7/23/2020,3235.66,629465024,597743104
7/22/2020,3276.02,549796672,596544832
7/21/2020,3257.3,594082176,613450816
7/20/2020,3251.84,543165376,614710784
7/17/2020,3224.73,613258816,680997248
7/16/2020,3215.57,516392544,684210496
7/15/2020,3226.56,662385856,702383424
7/14/2020,3197.52,642171840,705425472
7/13/2020,3155.22,669535104,709888960
7/10/2020,3185.04,551891776,816123200
7/9/2020,3152.05,618475904,822409344
7/8/2020,3169.94,592628160,824176192
7/7/2020,3145.32,574607296,838516096
7/6/2020,3179.72,620412544,852594240
7/2/2020,3130.01,587877760,864657920
7/1/2020,3115.86,611490944,888605248
6/30/2020,3100.29,803385920,899259072
6/29/2020,3053.24,612981440,893262912
6/26/2020,3009.05,1537463296,906050176
6/25/2020,3083.76,661457088,871231424
6/24/2020,3050.33,788986752,879465536
6/23/2020,3131.29,708016512,871141824
6/22/2020,3117.86,709123712,866524032
6/19/2020,3097.74,2263049216,855215296
6/18/2020,3115.34,646183296,811484672
6/17/2020,3113.49,644978624,814520128
6/16/2020,3124.74,807726848,820858432
6/15/2020,3066.59,785779904,817532992
6/12/2020,3041.31,801367168,795301568
6/11/2020,3002.1,947088320,780916800
6/10/2020,3190.14,771297984,757078208
6/9/2020,3207.18,713443264,744392448
6/8/2020,3232.39,804790528,750198464
6/5/2020,3193.93,1015182144,764835264
6/4/2020,3112.35,784969088,744257600
6/3/2020,3122.87,664131072,742682368
6/2/2020,3080.82,638748992,738101888
6/1/2020,3055.73,539492672,735226752
5/29/2020,3044.31,1607090432,737037376
5/28/2020,3029.73,691715328,671106432
5/27/2020,3036.13,740053184,664767872
5/26/2020,2991.77,757844800,656320256
5/22/2020,2955.45,452308576,649186368
5/21/2020,2948.51,585595392,662866240
5/20/2020,2971.61,589509696,694620992
5/19/2020,2922.94,581011264,710411904
5/18/2020,2953.91,800533504,716407232
5/15/2020,2863.7,1024342720,703758656
5/14/2020,2852.5,706517120,683379648
5/13/2020,2820,761340544,681457600
5/12/2020,2870.12,595423616,675293120
5/11/2020,2930.32,595622528,685399616
5/8/2020,2929.8,566651776,692810240
5/7/2020,2881.19,618126080,719005760
5/6/2020,2848.42,596637760,728027520
5/5/2020,2868.44,613338368,736964160
5/4/2020,2842.74,650836160,745649920
5/1/2020,2830.71,657506880,750335040
4/30/2020,2912.43,1061916416,770593152
4/29/2020,2939.51,826374144,753200512
4/28/2020,2863.39,670940928,762691648
4/27/2020,2878.48,610804544,787483712
4/24/2020,2836.74,718657728,808469248
